trial_number,time,is_biased_choice,side_choice,RT,observed_reward,unobserved_reward,biased_reward,unbiased_reward,BLUE_RIGHT_LEFT_RED,RT_Original,RT_Clipped,RT_Net,RT_zscore,subject_file,schedule
0,11:02.7,TRUE,RIGHT,7345,1,0,1,0,FALSE,7345,7345,5845,8.055,1590419455_78.csv,schedule_4
1,11:07.7,FALSE,LEFT,4966,0,1,1,0,FALSE,4966,4966,3466,4.095,1590419455_78.csv,schedule_4
2,11:10.5,TRUE,RIGHT,2856,0,0,0,0,FALSE,2856,2856,1356,0.582,1590419455_78.csv,schedule_4
3,11:13.1,TRUE,RIGHT,2640,0,0,0,0,FALSE,2640,2640,1140,0.222,1590419455_78.csv,schedule_4
4,11:15.6,FALSE,LEFT,2517,0,0,0,0,FALSE,2517,2517,1017,0.018,1590419455_78.csv,schedule_4
5,11:18.5,TRUE,RIGHT,2929,0,0,0,0,FALSE,2929,2929,1429,0.703,1590419455_78.csv,schedule_4
6,11:20.9,TRUE,RIGHT,2323,0,0,0,0,FALSE,2323,2323,823,-0.305,1590419455_78.csv,schedule_4
7,11:23.8,TRUE,RIGHT,2885,0,0,0,0,FALSE,2885,2885,1385,0.63,1590419455_78.csv,schedule_4
8,11:26.4,FALSE,LEFT,2619,0,0,0,0,FALSE,2619,2619,1119,0.187,1590419455_78.csv,schedule_4
9,11:28.8,FALSE,LEFT,2403,0,0,0,0,FALSE,2403,2403,903,-0.172,1590419455_78.csv,schedule_4
10,11:31.7,FALSE,LEFT,2983,0,1,1,0,FALSE,2983,2983,1483,0.793,1590419455_78.csv,schedule_4
11,11:34.1,FALSE,LEFT,2358,0,1,1,0,FALSE,2358,2358,858,-0.247,1590419455_78.csv,schedule_4
12,11:36.5,TRUE,RIGHT,2402,1,1,1,1,FALSE,2402,2402,902,-0.174,1590419455_78.csv,schedule_4
13,11:40.1,FALSE,LEFT,3532,1,1,1,1,FALSE,3532,3532,2032,1.707,1590419455_78.csv,schedule_4
14,11:42.4,FALSE,LEFT,2341,1,1,1,1,FALSE,2341,2341,841,-0.275,1590419455_78.csv,schedule_4
15,11:45.0,TRUE,RIGHT,2641,0,1,0,1,FALSE,2641,2641,1141,0.224,1590419455_78.csv,schedule_4
16,11:47.4,TRUE,RIGHT,2350,0,0,0,0,FALSE,2350,2350,850,-0.26,1590419455_78.csv,schedule_4
17,11:49.7,FALSE,LEFT,2335,0,0,0,0,FALSE,2335,2335,835,-0.285,1590419455_78.csv,schedule_4
18,11:52.2,TRUE,RIGHT,2480,0,0,0,0,FALSE,2480,2480,980,-0.044,1590419455_78.csv,schedule_4
19,11:54.7,FALSE,LEFT,2456,0,0,0,0,FALSE,2456,2456,956,-0.084,1590419455_78.csv,schedule_4
20,11:57.0,TRUE,RIGHT,2308,1,0,1,0,FALSE,2308,2308,808,-0.33,1590419455_78.csv,schedule_4
21,11:59.3,TRUE,RIGHT,2347,1,0,1,0,FALSE,2347,2347,847,-0.265,1590419455_78.csv,schedule_4
22,12:01.7,FALSE,LEFT,2353,1,1,1,1,FALSE,2353,2353,853,-0.255,1590419455_78.csv,schedule_4
23,12:04.0,FALSE,LEFT,2346,1,1,1,1,FALSE,2346,2346,846,-0.267,1590419455_78.csv,schedule_4
