schedule,n_subjects,E[p]_pub,E[p]_fix,E[logp]_pub,E[logp]_fix
schedule_0,549,0.6761808204503835,0.6784223352003703,-0.582563285278307,-0.5798548168930538
schedule_1,595,0.6390963773483217,0.6413351639331685,-0.6500438176672024,-0.6409528485621908
schedule_10,93,0.5569408730692214,0.5626512419463839,-0.7934451883736371,-0.7728991738848958
schedule_11,87,0.5605601452855861,0.5697437072975691,-0.7840326416789288,-0.76501730475648
schedule_2,538,0.5940557952056973,0.604403121609497,-0.7181157858851762,-0.701688513102292
schedule_3,607,0.6381574931313747,0.6625528149762187,-0.6060264240398191,-0.5912752997350684
schedule_4,201,0.5879259470113256,0.5962859454889504,-0.7489115887502557,-0.7342120790806493
schedule_5,176,0.6375910675349873,0.6580457559973731,-0.6326997007948226,-0.6136794172334372
schedule_6,144,0.5744955322660583,0.5848827238208918,-0.7568603391070341,-0.7440988118301028
schedule_7,119,0.5693913208118546,0.580104347574686,-0.7757075453328683,-0.7678102560503767
schedule_8,116,0.5444326625715981,0.5499834075303196,-0.8120358672092239,-0.7978840769822478
schedule_9,107,0.5567571059575478,0.5679863787162827,-0.7777205052365491,-0.7633590989765299
