c_prev,streak_bin,n,predicted,empirical,gap
0.0,1,43110.0,0.2748231634394614,0.6220598469032707,0.34723668346380926
0.0,2,16177.0,0.2752515271998781,0.48865673487049516,0.21340520767061705
0.0,3,8182.0,0.26008395516215455,0.39599120019555123,0.13590724503339668
0.0,4-5,8102.0,0.23122913269869128,0.273759565539373,0.0425304328406817
0.0,6+,15977.0,0.15675427125039604,0.08512236339738374,-0.0716319078530123
1.0,1,42625.0,0.8554019257466434,0.597325513196481,-0.25807641255016245
1.0,2,25401.0,0.8258337470555589,0.6561946380063777,-0.16963910904918122
1.0,3,16633.0,0.8337811895384566,0.7090122046533999,-0.12476898488505672
1.0,4-5,20666.0,0.8428446788749754,0.7657505080809058,-0.07709417079406955
1.0,6+,53003.0,0.8597395681037706,0.8783465086881874,0.01860694058441681
