partition,n_groups,R2,increment_over_c_prev
c_prev x streak_bin,10,0.17976539963868032,0.07570148134331756
c_prev x p_alt1_bin (20q),21,0.14943148856179755,0.04536757026643479
p_alt1_bin (20q),20,0.14933685611815894,0.04527293782279618
c_prev x trial_quintile,10,0.12377339904442153,0.01970948074905876
hard_argmax,4,0.12052707367315707,0.016463155377794303
c_prev x hard_argmax,4,0.12052707367315707,0.016463155377794303
c_prev x reward_rate_bin,6,0.11849847212748721,0.014434553832124442
c_prev x schedule,18,0.10998176817647976,0.005917849881116988
c_prev (baseline),2,0.10406391829536277,0.0
streak_bin,5,0.005156065050807457,-0.09890785324455531
trial_quintile,5,0.0021537189686328118,-0.10191019932672996
reward_rate_bin,3,0.0007742912943383695,-0.1032896270010244
schedule,9,0.0003719911777328999,-0.10369192711762987
