diagram,split,stratum,n_bins,strategy,bin,lo,hi,n,predicted,empirical,gap,emp_lo,emp_hi,n_boot
baseline_biased,training,all,10,uniform,0,0.0,0.1,8878,0.0731727129936778,0.0948411804460464,0.02166846745236861,0.08269587106557261,0.10790150961533097,2000
baseline_biased,training,all,10,uniform,1,0.1,0.2,8026,0.1567571038629061,0.3879890356341889,0.23123193177128282,0.3715215480288961,0.4043284881461329,2000
baseline_biased,training,all,10,uniform,2,0.2,0.30000000000000004,13238,0.25620456989880924,0.4793775494787732,0.22317297957996396,0.4673396449097137,0.4924050044397461,2000
baseline_biased,training,all,10,uniform,3,0.30000000000000004,0.4,23416,0.3192912898518456,0.5765715749914588,0.2572802851396132,0.5626422392226436,0.5904390303243527,2000
baseline_biased,training,all,10,uniform,4,0.4,0.5,1434,0.4661179382192759,0.48326359832635984,0.01714566010708396,0.4508820830437634,0.5160357831862855,2000
baseline_biased,training,all,10,uniform,5,0.5,0.6000000000000001,2782,0.5473204914755102,0.5553558590941768,0.008035367618666633,0.5335268087889368,0.5780792511261261,2000
baseline_biased,training,all,10,uniform,6,0.6000000000000001,0.7000000000000001,17543,0.6529106916266602,0.664994584734652,0.01208389310799185,0.6491508762530025,0.6811039084988645,2000
baseline_biased,training,all,10,uniform,7,0.7000000000000001,0.8,5712,0.7610040784858573,0.5906862745098039,-0.17031780397605334,0.5707801612741594,0.6093054041374985,2000
baseline_biased,training,all,10,uniform,8,0.8,0.9,22471,0.8585557386535597,0.6682835654844022,-0.19027217316915757,0.6581064943427529,0.6779817222152543,2000
baseline_biased,training,all,10,uniform,9,0.9,1.0,43317,0.9178339406986524,0.8021331117113374,-0.11570082898731504,0.7930125078635908,0.8109037835858005,2000
doubled,training,all,10,uniform,0,0.0,0.1,52195,0.08063635476030931,0.18034294472650636,0.09970658996619705,0.1724422143093726,0.18849286013757507,2000
doubled,training,all,10,uniform,1,0.1,0.2,30497,0.1454741945869935,0.34652588779224186,0.20105169320524835,0.336995180737988,0.3561234795437603,2000
doubled,training,all,10,uniform,2,0.2,0.30000000000000004,18950,0.2510174564648665,0.4582585751978892,0.2072411187330227,0.44774119088300324,0.46943332369162655,2000
doubled,training,all,10,uniform,3,0.30000000000000004,0.4,40959,0.3311973578447794,0.47310725359505845,0.14190989575027907,0.4605940227529925,0.4846671914188508,2000
doubled,training,all,10,uniform,4,0.4,0.5,4216,0.45725035961137867,0.4577798861480076,0.0005295265366289104,0.43966011029411767,0.4769307458888864,2000
doubled,training,all,10,uniform,5,0.5,0.6000000000000001,4216,0.5427496403886214,0.5422201138519924,-0.0005295265366289659,0.5230692541111136,0.5603398897058823,2000
doubled,training,all,10,uniform,6,0.6000000000000001,0.7000000000000001,40959,0.6688026421552206,0.5268927464049415,-0.141909895750279,0.5153328085811493,0.5394059772470075,2000
doubled,training,all,10,uniform,7,0.7000000000000001,0.8,18950,0.7489825435351335,0.5417414248021108,-0.20724111873302264,0.5305666763083734,0.5522588091169967,2000
doubled,training,all,10,uniform,8,0.8,0.9,30497,0.8545258054130065,0.6534741122077582,-0.2010516932052483,0.6438765204562397,0.6630048192620119,2000
doubled,training,all,10,uniform,9,0.9,1.0,52195,0.9193636452396907,0.8196570552734936,-0.09970658996619708,0.8115071398624248,0.8275577856906274,2000
doubled,training,all,20,uniform,0,0.0,0.05,494,0.04998982254288851,0.1862348178137652,0.1362449952708767,0.15501135747498482,0.21985224381216747,500
doubled,training,all,20,uniform,1,0.05,0.1,51701,0.08092918056475035,0.18028664822730703,0.09935746766255668,0.17278632484269774,0.188303809174432,500
doubled,training,all,20,uniform,2,0.1,0.15000000000000002,17456,0.12291992220373021,0.29359532538955085,0.17067540318582064,0.2829638250469974,0.30496935685007875,500
doubled,training,all,20,uniform,3,0.15000000000000002,0.2,13041,0.1756641630497068,0.4173759681006058,0.24171180505089898,0.4068183061352395,0.4295979783770411,500
doubled,training,all,20,uniform,4,0.2,0.25,9118,0.2224157226713365,0.422680412371134,0.20026468969979752,0.40926129890066454,0.43606320872188575,500
doubled,training,all,20,uniform,5,0.25,0.30000000000000004,9832,0.2775421318848631,0.49125305126118796,0.21371091937632486,0.4792377917238962,0.5047685087920671,500
doubled,training,all,20,uniform,6,0.30000000000000004,0.35000000000000003,32531,0.3218120494309754,0.5175985982601211,0.1957865488291457,0.5044651659749864,0.53021554221791,500
doubled,training,all,20,uniform,7,0.35000000000000003,0.4,8428,0.36742344564846435,0.30137636449928806,-0.06604708114917629,0.2859140544306323,0.3180148654055995,500
doubled,training,all,20,uniform,8,0.4,0.45,1760,0.4224580132362448,0.4596590909090909,0.03720107767284608,0.43208927338073977,0.48727526185469766,500
doubled,training,all,20,uniform,9,0.45,0.5,2456,0.4821829856782498,0.4564332247557003,-0.02574976092254949,0.4339783721476967,0.4822468398821677,500
