diagram,split,stratum,n_bins,strategy,n,n_subjects,ece,ece_lo,ece_hi,mce,brier,e_p,e_log_p,n_boot
baseline_biased,training,all,10,uniform,146817,1483,0.14675604537545558,0.14137053350127987,0.1524300141359029,0.2572802851396132,0.23191871815335346,0.6232281285652539,-0.6731118631848297,2000
doubled,training,all,10,uniform,293634,1483,0.143563742992099,0.13572357772706306,0.15144167853269244,0.2072411187330227,0.23191871815335346,0.6232281285652539,-0.6731118631848297,2000
doubled,training,all,20,uniform,293634,1483,0.15200808135551797,0.14523070670598778,0.15855570265873925,0.24171180505089898,0.23191871815335346,0.6232281285652539,-0.6731118631848297,500
doubled,training,all,50,uniform,293634,1483,0.16042623701745296,0.15425014417534302,0.16703104788768278,0.28118583521181856,0.23191871815335346,0.6232281285652539,-0.6731118631848297,500
doubled,training,all,100,uniform,293634,1483,0.1616226517404189,0.15553953054177452,0.16768883467137435,0.2958698733376998,0.23191871815335346,0.6232281285652539,-0.6731118631848297,500
doubled,training,all,10,quantile,293634,1483,0.143563742992099,0.13585337846906842,0.15103479034721393,0.24732761887109972,0.23191871815335346,0.6232281285652539,-0.6731118631848297,500
doubled,training,all,20,quantile,293634,1483,0.1565888516991066,0.15034806168337286,0.16310284789650953,0.28868505910238546,0.23191871815335346,0.6232281285652539,-0.6731118631848297,500
doubled_run1,training,1,10,uniform,102906,1483,0.2966006322548799,0.286994621822764,0.30642279744670586,0.3457808799841951,0.3238926159949364,0.5178104558381622,-0.8968951911763533,2000
doubled_run2,training,2,10,uniform,50250,1483,0.17330487011966692,0.1655840612802682,0.18209402836253535,0.23025079115990235,0.2651014086381689,0.5753003623353466,-0.7577745562122898,2000
doubled_run3-4,training,3-4,10,uniform,48704,1482,0.10821992429870061,0.10041514591069857,0.11597316536926304,0.17917684353604824,0.22179503030549796,0.6296094707578881,-0.6541322369413081,2000
doubled_run5-9,training,5-9,10,uniform,43208,1427,0.06602277162644167,0.06071467606224128,0.07121372290508197,0.10614945439634926,0.1604292582514699,0.7084898492118836,-0.5016902580360254,2000
doubled_run10+,training,10+,10,uniform,48566,1037,0.07210040014021607,0.0673180097469454,0.07657768634521638,0.2664464039729639,0.07645778968970847,0.8139314182505759,-0.2828845633641412,2000
doubled_eda,eda,all,10,uniform,98208,496,0.16918075998739052,0.15516752669920494,0.18377616815726125,0.2458929512018046,0.24407297424371208,0.6153350475310775,-0.704623056443413,2000
