trial_number,time,is_biased_choice,side_choice,RT,observed_reward,unobserved_reward,biased_reward,unbiased_reward,BLUE_RIGHT_LEFT_RED,RT_net,RT_zscore,subject_file,schedule,catie_choice_probability
0,11:02.7,TRUE,RIGHT,7345,1,0,1,0,FALSE,5845,8.055105797,1590419455_78.csv,schedule_4,0.5
1,11:07.7,FALSE,LEFT,4966,0,1,1,0,FALSE,3466,4.09462634,1590419455_78.csv,schedule_4,0.0499999999999998
2,11:10.5,TRUE,RIGHT,2856,0,0,0,0,FALSE,1356,0.581969066,1590419455_78.csv,schedule_4,0.311
3,11:13.1,TRUE,RIGHT,2640,0,0,0,0,FALSE,1140,0.222379506,1590419455_78.csv,schedule_4,0.815878368682949
4,11:15.6,FALSE,LEFT,2517,0,0,0,0,FALSE,1017,0.017613229,1590419455_78.csv,schedule_4,0.172102431779154
5,11:18.5,TRUE,RIGHT,2929,0,0,0,0,FALSE,1429,0.703497019,1590419455_78.csv,schedule_4,0.198557430226952
6,11:20.9,TRUE,RIGHT,2323,0,0,0,0,FALSE,823,-0.305351468,1590419455_78.csv,schedule_4,0.829297814579387
7,11:23.8,TRUE,RIGHT,2885,0,0,0,0,FALSE,1385,0.630247294,1590419455_78.csv,schedule_4,0.829700608236638
8,11:26.4,FALSE,LEFT,2619,0,0,0,0,FALSE,1119,0.18741941,1590419455_78.csv,schedule_4,0.169983130080019
9,11:28.8,FALSE,LEFT,2403,0,0,0,0,FALSE,903,-0.172170149,1590419455_78.csv,schedule_4,0.802334379565907
10,11:31.7,FALSE,LEFT,2983,0,1,1,0,FALSE,1483,0.793394409,1590419455_78.csv,schedule_4,0.802513127917045
11,11:34.1,FALSE,LEFT,2358,0,1,1,0,FALSE,858,-0.247084641,1590419455_78.csv,schedule_4,0.802659376567975
12,11:36.5,TRUE,RIGHT,2402,1,1,1,1,FALSE,902,-0.173834916,1590419455_78.csv,schedule_4,0.19721874955625
13,11:40.1,FALSE,LEFT,3532,1,1,1,1,FALSE,2032,1.707351207,1590419455_78.csv,schedule_4,0.153891368192904
14,11:42.4,FALSE,LEFT,2341,1,1,1,1,FALSE,841,-0.275385671,1590419455_78.csv,schedule_4,0.777234364213592
15,11:45.0,TRUE,RIGHT,2641,0,1,0,1,FALSE,1141,0.224044273,1590419455_78.csv,schedule_4,0.152659865481709
16,11:47.4,TRUE,RIGHT,2350,0,0,0,0,FALSE,850,-0.260402773,1590419455_78.csv,schedule_4,0.792254679716051
17,11:49.7,FALSE,LEFT,2335,0,0,0,0,FALSE,835,-0.28537427,1590419455_78.csv,schedule_4,0.206117799782785
18,11:52.2,TRUE,RIGHT,2480,0,0,0,0,FALSE,980,-0.04398313,1590419455_78.csv,schedule_4,0.254604334625233
19,11:54.7,FALSE,LEFT,2456,0,0,0,0,FALSE,956,-0.083937526,1590419455_78.csv,schedule_4,0.229246515659346
20,11:57.0,TRUE,RIGHT,2308,1,0,1,0,FALSE,808,-0.330322965,1590419455_78.csv,schedule_4,0.261022359245854
21,11:59.3,TRUE,RIGHT,2347,1,0,1,0,FALSE,847,-0.265397072,1590419455_78.csv,schedule_4,0.704982034651795
